,Hash,Psi,Gamma,Delta,type,Diff_mean,Diff_std
36,8e211284-9e2d-41f5-a51c-c6218778cd41,2.95707762171308,0.0234187388194,0.017816956557013,flexible,2.6533448204770274,5.813239159280351
37,90076446-c7c5-4043-aa62-a9aa38380d9a,0.576098300822528,0.034277036605236,0.031997094234486,flexible,1.3937833915923823,6.248157151059424
38,951f5067-f685-43ed-8ef9-db7480b55131,0.897126340653058,0.031767578965752,0.020693604916255,inflexible,2.08971246554993,6.039329855097861
39,9c4c0731-18a3-4bd9-9fda-05a3c46de09d,1.69703886666057,0.037772280671616,0.033996833440186,inflexible,2.415412512623169,5.826680143139425
40,9fb4d771-8d44-490b-85ed-a7231a8b27e6,0.614060191999325,0.054680049415119,0.018115784426824,flexible,1.7518506354261671,6.12085022165523
41,a37bd782-6046-41f9-acf6-dc378ae46fb1,1.05754395783799,0.031238959683069,0.026213432888074,inflexible,2.2219508850758696,5.967330526628145
42,b5795796-9b02-46b2-85d4-b19b087350c5,0.787899757445665,0.018821802225451,0.015778199685181,flexible,1.641995323850888,6.18801087399938
43,c24b5fa2-7706-44bd-84ec-9a9d6af1787b,1.41009556379517,0.036885274893942,0.015760834624809,inflexible,2.3584782299253746,5.936351571545489
44,c7997551-607a-419a-b121-85ead5a217d9,1.0203876083511,0.018731713742096,0.018809038126682,inflexible,2.3807980025936635,5.956295633270699
45,c9dad539-e487-4bdf-a934-a6167e9106fb,1.71402716279536,0.023340215033498,0.013456882942135,inflexible,2.4011998368477623,5.88049766846766
46,cf543026-25f0-4529-bc92-efe33ab0a482,1.55869459061814,0.02040441315145,0.011463340820894,inflexible,2.4258853661616055,5.904135638499003
47,d5377b76-cf52-4af9-a7a0-3ecc93da9369,1.02123912353516,0.052651308057898,0.039555327789971,flexible,2.0592646286622633,6.036983934252329
48,dc3b44be-fa84-4569-920a-742256dc023d,0.777108046243013,0.027342092324354,0.025019054896058,flexible,1.7956607264929454,6.129696027372073
49,e158b5e8-87f0-4aff-8e72-2d25a9f75508,1.33063554376138,0.025649825168163,0.021091693767417,inflexible,2.4509365348154613,5.899566815035264
50,e172dff4-0ba3-461f-af24-687986280ba8,2.38451189585502,0.035433231608776,0.030337294058999,flexible,2.5978575498398904,5.837023359048771
51,e5cbbff8-e012-43b0-8b9c-ee3b6bb19559,3.02436558022383,0.033831727148453,0.024294376548348,flexible,2.339424937207715,5.946530234384388
52,e6d66abf-7208-4b5e-b19f-106cd3aaa871,1.45276590437977,0.029991846814307,0.02724879984431,inflexible,2.5074613396941534,5.959089367748201
53,e78cad56-b38d-4b1a-b66e-e49c75a9e60e,1.95469199299563,0.020075445265325,0.00877299086282,inflexible,2.5516683665351456,5.905617963162981
54,e88348cd-6d75-4459-8489-e1b93bd03d02,2.55284121063422,0.021263537672331,0.016328198520403,flexible,2.500974753752249,5.904147973080484
55,f0cbc38c-b477-444a-bbb2-016414668a4b,2.68250648061882,0.030449806155648,0.027412716766849,flexible,2.344869876869125,5.943996632626127
56,f0e7aaa7-eb26-419d-8e49-0294b67115b7,1.59512056643485,0.029954944070237,-0.008827798544488,inflexible,2.437857895396467,5.8737427180508535
57,f2f8b74e-6e43-4da7-9dc2-ee540d837d22,1.0324929269664,0.039011906774931,0.030604461408681,inflexible,2.0033971651834452,6.069398387677979
58,f331ecf3-f86b-4904-b7e5-b217730f829e,1.77181240116832,0.028305350349287,0.021903968200689,inflexible,2.4617162285158773,5.838468668977988
59,f36bc454-13d7-45a0-94a9-1e162dfa1332,0.976700439192292,0.023758809893074,0.016134351751964,inflexible,2.2054276988367416,5.975650378035267
